10000 20000
0 4717 64736538 
0 5777 2821401 
0 5298 87621309 
0 579 27368038 
1 7850 82691545 
1 4250 39445269 
1 1948 5997386 
1 2454 16080601 
1 2483 13671929 
1 89 1804337 
1 177 44208367 
1 5294 54686926 
2 5921 70227933 
2 9369 47506964 
2 1684 85343994 
2 5647 94496265 
2 5001 40755636 
2 5391 15731627 
2 1655 74262021 
3 1866 13822009 
3 4386 64260986 
3 9354 25771795 
4 226 874398 
4 8034 23917988 
5 6080 45455503 
5 5119 55027318 
5 906 32752790 
6 2026 49192300 
6 1732 7064063 
6 5229 71068607 
7 7362 38053613 
8 7895 84993445 
8 5581 21281998 
8 2704 57231551 
9 5556 21491823 
9 4888 69869082 
9 7429 73717529 
9 5909 96090491 
10 4839 88514145 
10 709 89371964 
10 7878 65760787 
10 314 84277188 
10 7031 441604 
11 8277 34558124 
11 2552 78176605 
11 15 59560493 
11 1084 54174309 
11 4224 68063037 
11 4836 63726012 
12 744 38466786 
12 8338 64888811 
13 5235 8623557 
13 9407 9330288 
14 3550 83743776 
14 2503 50236666 
14 9622 18301231 
15 6133 45165403 
15 4771 17754 
15 9892 11758452 
15 774 51625330 
15 6347 15446930 
15 8749 15579626 
15 7101 46030721 
15 5655 63603506 
16 5728 61304901 
16 6861 22981127 
16 3728 81590676 
17 4691 6914506 
17 3695 79426574 
17 3038 17125590 
17 5812 14599345 
18 7183 83554072 
18 6123 20440621 
18 1691 98353660 
18 4010 18186169 
18 9062 1836517 
19 8333 15313703 
20 4890 6010178 
20 1228 68347359 
20 3597 56208249 
20 9917 57213875 
20 2797 52881367 
21 1077 63639101 
21 8908 50115307 
21 4606 14996636 
22 9988 90552123 
22 3461 6764154 
22 2100 11917558 
22 1524 62113112 
23 2288 40877370 
23 5074 88621241 
23 6772 24252544 
24 7583 51481057 
24 9791 87239429 
24 7083 18816445 
24 5198 40399500 
25 9975 81881253 
25 1143 11213770 
25 685 15879047 
25 9727 51311393 
25 2942 37786248 
25 5250 77801454 
26 9030 57344827 
26 3129 6570893 
26 6495 78486838 
27 4220 6683918 
27 5357 31407709 
27 9982 27491219 
28 9971 88318081 
28 8077 88789472 
28 2450 85762327 
29 450 89048150 
29 4873 46219352 
29 5545 35235609 
29 1424 84047350 
29 8272 78624580 
30 4721 73595890 
30 2093 1056232 
30 3911 1318013 
30 6465 94310337 
30 7856 21255998 
31 2709 18939215 
31 3883 42401276 
31 1721 16544699 
31 4623 79945686 
31 3400 56169277 
31 4158 52103907 
31 8652 15840774 
31 9715 7609098 
32 3041 38606921 
32 7382 47200001 
32 5524 60681639 
32 5503 68911018 
33 3488 37702714 
33 5293 71987637 
33 5084 5904091 
33 4341 84469506 
34 9747 86267923 
34 573 61504907 
34 2777 74992791 
35 4245 91880654 
35 131 2863825 
35 5907 7960590 
36 6147 70087490 
36 5351 4600692 
37 7945 96436714 
37 7114 17651311 
37 9834 7669455 
38 8463 55646220 
38 3900 33865588 
38 3079 73938199 
39 3320 24290041 
39 9046 77762714 
39 7883 31436990 
39 3209 19696582 
40 2029 43681065 
40 2929 36574193 
40 1184 19554306 
40 3663 67141434 
40 5392 50529476 
40 1201 41335535 
41 6316 53923253 
41 8129 83103150 
41 5639 97987185 
42 4461 62721715 
42 1052 40049763 
42 6651 96826256 
42 3301 74913089 
43 6168 89263417 
43 1236 41969770 
43 6563 87342754 
44 1291 71142968 
44 869 60782949 
44 698 84169990 
45 7059 90846395 
45 653 65529749 
46 3042 8722273 
46 9884 45136752 
46 5958 28044651 
46 4767 54732441 
46 5350 64056700 
47 5180 29379929 
47 504 14331720 
47 7056 58862372 
48 9433 88944755 
49 2716 88510715 
50 3265 16024735 
50 63 33666385 
50 5924 52645208 
51 5924 95986186 
51 1753 86931113 
51 1939 86289762 
51 6116 32060085 
52 8307 10724618 
52 3354 88140828 
52 1148 58040019 
52 9932 30948870 
52 7739 92290497 
52 2250 5713505 
53 466 24488253 
53 6390 46191980 
53 1032 2062709 
54 1637 73524831 
54 3420 37614653 
54 2036 11199055 
55 7319 2427430 
55 3186 48953823 
55 6907 98794815 
55 7242 36870833 
55 2915 59340037 
56 5731 79815812 
56 8465 64157360 
56 5260 48729809 
57 6457 15343425 
57 4734 30765756 
57 2218 43565481 
57 267 31105682 
57 8696 98328945 
59 2620 15725910 
59 113 39407630 
59 9250 9742489 
59 4916 91891995 
59 9017 52409661 
59 4197 97470284 
59 856 61161040 
60 2965 8019693 
60 7154 94234406 
60 7038 23841043 
60 7526 48377929 
60 8455 23652167 
60 4048 59136420 
60 4925 12169904 
60 8018 7295005 
61 4422 1846868 
61 4077 16620067 
61 3472 99220143 
62 2715 7301171 
62 4330 84901932 
62 7278 50822264 
62 5800 46022734 
62 739 94394716 
62 4431 93694931 
62 4744 97054226 
63 5726 79100758 
63 4314 56335534 
64 2302 64155418 
64 883 90120664 
64 5638 55767529 
64 8222 96313210 
64 8616 30779644 
65 6836 40360361 
65 4145 86197644 
65 2931 72061467 
66 4788 80563001 
66 4703 18752232 
66 131 45488694 
67 2214 3445563 
67 2156 58315630 
68 7376 45207169 
68 2800 41757894 
69 9334 23902363 
69 7662 69553693 
69 8411 18426365 
70 8453 45863936 
70 1193 93434771 
70 8449 96370646 
70 3708 23293327 
71 6645 89995137 
71 2874 73828076 
72 2036 9364199 
72 2042 59889744 
72 2699 74179927 
72 386 99506375 
72 5398 98029067 
72 7234 51413756 
73 7430 17097992 
73 6156 42366877 
73 5272 29475952 
73 1874 9953603 
74 5127 17337776 
74 7467 85503853 
74 5003 36001085 
74 1718 52385860 
75 6478 55461903 
75 4884 71335786 
75 9530 54963641 
75 8145 40658938 
75 4930 33494312 
76 3587 83995572 
76 7123 27975968 
76 7577 7190908 
76 2327 68371673 
76 7473 11518534 
76 9929 91336745 
76 7693 79971176 
76 8711 11384695 
76 8531 57183175 
77 1033 24293623 
77 5298 14056539 
77 4387 16113925 
77 91 61538732 
78 1219 54697416 
78 522 20405058 
78 9674 6556688 
78 8066 18676127 
78 4559 45534784 
78 6400 81076259 
78 6687 3466262 
79 5115 81117197 
79 1055 94173692 
80 3694 21950228 
80 421 15409877 
80 1025 9537032 
80 5196 34179794 
80 1739 96670856 
80 5073 79881930 
80 8138 56376599 
81 1560 70801971 
81 8319 79154416 
82 9880 53207824 
82 8829 42873830 
83 5525 53516119 
83 6690 54259105 
83 3640 86796706 
84 8231 57768000 
85 4171 49056249 
85 4340 59664476 
85 3544 70807558 
85 8229 8882382 
86 5510 57375961 
86 9602 38455656 
86 5038 47260934 
86 4140 15778852 
86 5728 76816027 
87 7765 42265936 
87 1748 93706081 
88 7471 95783098 
88 5460 79906861 
89 647 84670693 
89 7108 63061041 
89 2548 41097287 
90 5200 7109056 
90 9466 16083806 
90 9585 76692316 
91 6831 99984095 
91 2413 62885643 
91 7277 18998158 
91 8460 35574520 
92 2749 87467680 
93 9406 19054619 
93 1596 78444809 
93 9703 50378629 
93 691 32890925 
94 9004 24846518 
94 4887 66340187 
94 6673 4719639 
94 2523 35617585 
94 5944 786221 
94 579 22418073 
94 6008 41276808 
94 266 76662247 
94 4742 68051561 
95 4322 88216048 
96 3145 9360175 
96 7043 5360285 
96 3328 51494754 
96 8290 58036674 
97 2221 6401654 
97 7364 93130516 
97 3038 42358755 
97 7167 70113821 
97 4378 13093009 
97 299 32141330 
98 3542 64126750 
98 8935 82274239 
98 6243 31182299 
98 8364 92310754 
99 6174 74785132 
99 1248 92075461 
99 2472 61947653 
99 2282 65918662 
99 6481 74959776 
99 1593 5084342 
99 2589 27356700 
100 6405 41329088 
100 3801 37091076 
100 9939 6910989 
101 5422 58783406 
101 9999 7787990 
101 8436 46043873 
102 5324 35463604 
102 2510 53642529 
102 5641 93603074 
103 3938 91851982 
103 7951 22680107 
103 2416 67266638 
103 8423 9725870 
103 422 98105 
103 484 59081501 
104 6951 41847426 
104 8903 51597568 
104 6590 31427393 
105 8679 23718539 
105 3732 22449138 
105 2247 57617723 
105 4769 78097635 
106 7946 31766422 
106 3450 74108542 
106 8611 54477828 
106 2508 78432462 
106 5348 91035427 
106 2094 98444658 
106 6082 65025461 
107 339 37844020 
107 2251 1353557 
108 8395 64027144 
108 604 45193239 
108 2767 74670387 
108 749 85974066 
109 5708 17138766 
109 8901 24719321 
109 4861 62163726 
109 6825 98100284 
109 5290 333870 
109 3067 45843117 
110 3716 5353013 
110 1595 86144324 
110 7514 6220284 
110 657 10334057 
110 4145 62909733 
110 5061 54078872 
110 4030 36387454 
110 116 92216352 
110 4540 50514270 
111 8396 57526010 
111 2747 97224781 
111 7722 4925407 
111 9840 35384616 
111 3145 42911177 
111 6466 58422125 
112 7016 62500760 
112 8067 49051758 
113 9813 72110670 
113 8765 49489685 
113 684 21699298 
113 4641 57452518 
114 3853 5037819 
114 2584 98095094 
114 2413 56974827 
114 247 19016263 
115 1107 2990874 
115 3283 45830207 
115 2784 47468836 
115 1084 56176013 
116 5449 59229494 
116 8526 72219066 
116 5622 73302168 
117 4987 28839125 
117 1347 81334781 
117 5165 8839230 
117 6768 41922800 
118 1291 32971268 
119 8900 98485958 
119 3486 40690417 
120 8278 47321244 
